,Date,Open,High,Low,Close,Volume,High-Low,Open-Close
2559,06-05-2010,334.39,335.19,330.75,332.52,637544,4.44,1.87
2560,05-05-2010,330.75,337.19,326.16,335.98,1744144,11.03,-5.23
2561,04-05-2010,339.00,339.00,331.75,333.37,2388912,7.25,5.63
2562,03-05-2010,337.13,339.98,335.00,336.82,724416,4.98,0.31
2563,30-04-2010,339.88,344.25,334.73,342.02,961328,9.52,-2.14
2564,29-04-2010,338.00,340.00,334.54,338.29,539944,5.46,-0.29
2565,28-04-2010,340.04,341.33,336.67,337.57,348184,4.66,2.47
2566,27-04-2010,341.38,343.13,340.55,342.71,582088,2.58,-1.33
2567,26-04-2010,343.45,343.80,340.64,342.59,344600,3.16,0.86
2568,23-04-2010,342.00,344.07,339.76,341.02,415456,4.31,0.98
2569,22-04-2010,339.63,345.00,337.00,339.76,819984,8.00,-0.13
2570,21-04-2010,343.63,343.63,337.88,339.50,539584,5.75,4.13
2571,20-04-2010,346.13,346.13,340.13,340.62,631040,6.00,5.51
2572,19-04-2010,346.25,346.25,342.42,344.03,686120,3.83,2.22
2573,16-04-2010,350.38,351.13,345.13,348.23,1085576,6.00,2.15
2574,15-04-2010,349.88,352.98,345.00,350.20,3336424,7.98,-0.32
2575,13-04-2010,331.25,348.75,329.38,347.80,14597976,19.37,-16.55
2576,12-04-2010,335.63,336.99,331.55,335.41,793792,5.44,0.22
2577,09-04-2010,332.39,337.24,332.39,334.86,736464,4.85,-2.47
2578,08-04-2010,328.50,334.63,328.50,332.24,711872,6.13,-3.74
2579,07-04-2010,328.75,332.50,320.05,330.51,976088,12.45,-1.76
2580,06-04-2010,335.13,335.62,330.63,331.19,369912,4.99,3.94
2581,05-04-2010,336.75,336.75,330.02,334.12,743752,6.73,2.63
2582,01-04-2010,327.50,334.75,327.50,333.93,1195856,7.25,-6.43
2583,31-03-2010,330.77,334.52,325.89,326.89,1686168,8.63,3.88
2584,30-03-2010,340.25,340.25,330.00,330.49,987496,10.25,9.76
